,0,1,2,3,4
0,"Я
",,,,
1," 
","Финансовые обязательства оцениваемые по
амортизированной стоимости, в том числе:
",,"21 533 601
","26 242 604
"
2,," 
",,"12 671 053
","14 150 713
"
3,,"иты, заимы и прочие привлеченные с тва
"," 
","8 794 177
","12 009 987
"
4,,"выпущенные долговые ценные бумаги
",,,
5,," 
",,"68 371
","81 904
"
6," 
","Обязательства выбывающих групп, классифицированных
как назначенные для

   
","16
",,
7," 
","Обязательства по вознаграждениям работникам по

окопании трудовой долтольтооти, по ограниченным
фиксируемыми платежами

 
",,,
8,,"Обязательство по текущему налогу на прибыль
",,,"1 865
"
9,,"Отложенные налоговые обязательства
",,"16 260
",
10,," 
",,,
11,,"Прочие обязательства
",,"503 205
","1 228 088
"
12," 
","Итого обязательства
",,"22 540 159
","27 519 520
"
13," 
",,,,
14,,"Уставный капитал
"," 
","165 000
","165 000
"
15,,"бавочный капитал
"," 
","2062 613
","2242 209
"
16,," 
"," 
",,
17," 
","Собственные акции (доли участия), выкупленные у
акционеров (участников

 
","30
",,
18," 
","Резерв переоценки долевых инструментов, оцениваемых

по справедливой стоимости через прочий совокупный

 
",," 
"," 
"
19," 
","Резерв переоценки долговых инструментов, оцениваемых

по справедливой стоимости через прочий совокупный

 
",,,
20," 
","Оценочный резерв под ожидаемые кредитные убытки по

долговым инструментам, оцениваемым по справедливой
стоимости через прочий совокупный доход

 
",,,
21," 
","Резерв переоценки основных средств и нематериальных
активов
",,,
22," 
","Резерв переоценки финансовых обязательств,

учитываемых по справедливой стоимости через прибыль
или убыток, связанной с изменением кр

 
",,,
23,"47
","Резерв переоценки обязательств (активов) по
вознаграждениям работникам по окончании трудовой

деятельности, не ограниченным фиксируемыми
платежами

 
","27
",,
24," 
","Розоро ходжировапия долсовых инотрумснтов,

оцениваемых по справедливой стоимости через прочий

 
",,,
25,," 

нежных потоков
",,,
26,," 
",,,
27,,"Нераспределенная прибыль (непокрытый убыток
",,"650 948
","179 596
"
28,,"Итого капитала
",,"2884 133
","2 233 185
"
29,,"Итого капитала и обязательств
",,,"29 752 705
"
