,0,1,2,3,4,5
0,,,,,,
1," 
"," 

Оценочны резерв под ожидаемые кредитные убытки по состоянию на начало
отчетного период:

  

 
",,,"12 588
","12 757
"
2," 
","финансовые активы, кредитные убытки по которым ожидаются в течение 12
месяцев
","169
",,"12 588
","12 757
"
3,,"Поступление финансовых активов, в том числ
",,,,"8 769
"
4," 
","финансовые активы, кредитные убытки по которым ожидаются в течение 12
месяцев
","2145
",,"6 624
","8 769
"
5,,"Прекращение признания финансовых активов, в том числ!
","1 761
",,"14 617
","16 278;
"
6," 
","финансовые активы, кредитные убытки по которым ожидаются в течение 12
месяцев
","(1 761)
",,"(14 517)
",
7,,"Прочие изменения, в том числ
",,," 
",
8,"32
","финансовые активы, кредитные убытки по которым ожидаются в течение 12
месяцев
","(14)
",,"(14)
",
9,"36
"," 

Оценочны
отчетного п.

резерв под ожидаемые кредитные убытки по состоянию на конец

  
",,,"4 681
",
10,"37
","финансовые активы, кредитные убытки по которым ожидаются в течение 12
месяцев
","539
",,"4 681
",
