,0,1,2,3,4,5,6
0,,,,,,,
1,"1
","Финансовые активы, в том числе
","359 783
","24 816
",,,"334 967
"
2,"2
","ценные бумаги, удерживаемые для торговли
","359 783
","26 126
",,,
3," 
"," 

производные финансовые инструменты, от
которых ожидается увеличение экономических

выгод

 
",,"1310
",,,
4,,"Финансовые обязательства, в том числе
",,,,,
5,,"производные финансовые инструменты, от

которых ожидается уменьшение экономических

 
","(952)
","(1 310)
",,,"(2262)
"
6,,"обязательства по возврату заимствованных
енных бумаг
",,"15 275
",,,"15 275
"
7,,"Итого
","358 831
",,,,
