,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,"Финансовые активы, оцениваемые по амортизированнои стоимости, в том числ
",,,,,,,"8 175 805
","8 175 977
"
2,," 
",,,,,,,"876 979
","876 979
"
3,,"        

заимы выданные и чие размещенные с!
",,,,,,,"7 200 310
","7 200 310
"
4,," 
",,,,,,,"98 516
","98 688
"
5,," 
",,,,,,,,
6,,"Финансовые обязательства оцениваемые по амортизированнои стоимости, в том числе
",,,,,,,"3 612 727
","3 612 967
"
7,,"средства клиентов
",,,,,,,"1 752 384
","1 752 384
"
8,,"кредиты, заимы и прочие привлеченные средства
",,,,,,,"1 826 806
","1 827 046
"
9,," 
",,,,,,,"33 537
","33 537
"
10,,"Прочие обязательства
",,,,,,,"7 589
","14 719
"
