,0,1,2,3,4,5,6
0,,,,,,,
1,,"доходы за вычетом расходов (расходы за вычетом
доходов) по восстановлению (созданию) резервов

под обесценение долговых инструментов,
оцениваемых по справедливой стоимости через
прочий совокупный доход

 
",,,,,
2," 
","доходы за вычетом расходов (расходы за вычетом

доходов) от операций с инвестиционным

 
","38
",,,,
3,,"доходы за вычетом расходов (расходы за вычетом
доходов) от операций с иностранной валютой
",,"35 397
","33 077
",,
4," 
","прочие инвестиционные доходы за вычетом
расходов (расходы за вычетом доходов)
",,"(861)
","(2 437)
","(302)
","(213)
"
5,,"Выручка от оказания услуг и комиссионные доходы
",,"4 691 731
","2225 557
","1 261 830
",
6,,"Расходы на персонал
",,"3 011 236
","2 193 163
",,
7,,"Прямые операционные расходы
",,"1 140 584
","503 391
","284 809
",
8,,"Процентные расходы
",,"124 807
","63 743
","42 756
",
9,,"Доходы за вычетом расходов (расходы за вычетом
доходов) от операций с финансовыми
обязательствами, классифицируемыми как

оцениваемые по справедливой стоимости через
прибыль или убыток по усмотрению некредитной
финансовой организации

 
","45
",,,,
10,," 
",,"460 909
","387 797
","160 484
",
11,"21
"," 

Доходы за вычетом расходов (расходы за вычетом
доходов) от переоценки и выбытия активов
(выбывающих групп), классифицированных как
предназначенные для продажи

 
","16
",,,,
12,,"Прочие доходы
",,"91 709
","56 291
","33 353
",
13,," 
",,"10 182
",,"1 147
",
14,,"Прибыль (убыток) до налогообложения
",,"903 209
",,"149 767
",
15,," 

Доход (расход) по налогу на прибыл

 

 
",,"(252 261)
","(120 702)
",,
16,,"доход (расход) по текущему налогу на прибыль

 
",,"93 590
","4 362
","15 307
","37 063
"
17,,"доход (расход) по отложенному налогу на прибыль

 
",,"158 671
","116 340
","17 613
",
18,"28
","Прибыль (убыток) от прекращенной деятельности,
переоценки и выбытия активов (выбывающих групп),

классифицированных как предназначенные для
продажи, составляющих прекращенную
деятельность, после налогообложения

 
","16
",,,,
19,,"Прибыль (убыток) после налогообложения
",,"650 948
",,,
20,"Раздел И. Прочий совокупный доход
",,,,,,
21,"30
","Прочий совокупный доход (расход), не подлежащий

переклассификации в состав прибыли или убытка в
ющих периодах, в том числе:

 
",,,,,
22,,"чистое изменение резерва переоценки основных
тв и нематериальных активо

    
",,,,,
23,"32
"," 

изменение резерва переоценки в результате
выбытия основных средств и нематериальных

активов

 
",,,,,
24,"33
","изменение резерва переоценки в результате

переоценки основных средств и нематериальных
активов

 
","19
",,,,
25,"34
"," 

налог на прибыль, связанный с изменением
резерва переоценки основных средств и
нематериальных активов

 
",,,,,
26,"35
","чистое изменение справедливой стоимости
долевых инструментов, оцениваемых по

справедливой стоимости через прочий совокупный
в том числе:

 
",,,,,
27,"36
"," 

изменение справедливой стоимости долевых
инструментов, оцениваемых по справедливой
стоимости через прочий совокупный Доход

 
",,,,,
28,"37
"," 

влияние налога на прибыль, связанного с
изменением справедливой стоимости долевых
инструментов, оцениваемых по справедливой

 
",,,,,
