,0,1,2,3,4,5,6,7
0,"Полная

балансовая
стоимость

 
","Оценочный резерв

под ожидаемые
кредитные убытки

 
","Балансовая

стоимость

 
","Полная

балансовая
стоимость

 
","Оценочный резерв

под ожидаемые
кредитные убытки

 
","Балансовая

стоимость

 
",,
1,,,,,,,,
2," 
","Расчеты по начисленным
Коходам по акциям, долям, паям

 
","197
",,"197
",,,
3," 
","Дебиторская задолженность
клиентов
","130 460
","(5 950)
","124 510
","150 943
","(9 448)
",
4,,"Расчеты по конверсионным
операциям, производным

финансовым инструментам,
операциям с ценными бумагами

 
","125 000
",,,,,
5,,"Прочая дебиторская
задолженность
","16 860
","(3 616)
",,"12 381
","(4 800)
","7581
"
6," 
","Итого
","272 517
",,"262 951
","163 324
",,"149 076
"
