,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1," 
","т. овые и инвестиционные доходы, в том числе
",,,,,,,,
2," 
"," 

доходы за вычетом расходов (расходы за вычетом доходов) от операций с финансовыми
инструментами, в обязательном порядке классифицируемыми как оцениваемые по справедливой
стоимости через прибыль или убыток

 
",,,,,,," 
"," 
"
3," 
","процентные доходы
",,,,,,,"123 916
",
4,"10
","доходы за вычетом расходов (расходы за вычетом доходов) по восстановлению (созданию)

оценочных резервов под ожидаемые кредитные убытки по финансовым активам, оцениваемым по
амортизированной стоимости

 
",,,,,"(11)
",,"3813
",
5,," 

ии с иностраннои валютои
",,,,,"| (21) |
| (21) |
",,"2810
","2 789
"
6,,"Выручка от оказания услуг и комиссионные доходы
",,,,,,,"752 516
","752 524
"
7,,"Расходы на персонал
",,,,,,,,"7 554`
"
8,,"Прямые операционные расходы
",,,,,,,"90 910
","90 910
"
9,," 
",,,,,,,,
10,,"Общие и административные расходы
",,,,,,,"5 157
",
11,,"Прочие доходы
",,,,,,,"32 693
",
