,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1," 
","Оценочный резерв под ожидаемые кредитные убытки по состоянию на начало
отчетного п

  
",,,,,,"23 076
",,"23 076
"
2," 
"," 

ются в течение 12 месяцев

 

инансовые активы, к!
",,,,,,,,
3,,"Поступление финансовых активов, в том числ
",,,,,,,,
4," 
","финансовые активы, кредитные убытки по которым ожидаются в течение 12 месяцев
",,,,,,,,
5," 
","Прекращение признания финансовых активов, в том числ
",,,,,,,,
6,,"инансовые активы, к! итные убытки по которым ожидаются в течение 12 месяцев
",,,,,,"23 415
",,
7,," 

Оценочны резерв под ожидаемые кредитные убытки по состоянию на конец отчетного
периода, в том числ

   

 
",,,,,,,,
8,,"финансовые активы, кредитные убытки по которым ожидаются в течение 12 месяцев
",,,,,,"1 429
",,
