,0,1,2,3,4,5,6
0,,,,,,," 
"
1,"1
","Финансовые активы, в том числ
",,"141 844
",,,
2,"2
","ценные бумаги удерживаемые для торговли
","326 495
","34553
",,,"361 048
"
3," 
","производные финансовые инструменты, от

которых ожидается увеличение экономических

 
",,"107 291
",,,"107 291
"
4,,"Финансовые обязательства, в том числе
",,"243 521
",,,"243 521
"
5,,"производные финансовые инструменты, от

которых ожидается уменьшение экономических

 
",,"(104 067)
",,,"(104 067)
"
6,,"обязательства по возврату заимствованных
енных бумаг
",,"(139 454)
",,,"(139 454)
"
7,,"Итого
",,"(101 677)
",,,"224 818
"
