,0,1,2,3,4,5,6,7,8,9
0,,,,,,,"7
",,,
1," 
","Торговые и инвестиционные доходы, в том числе
",,,,,,,,
2," 
"," 

доходы за вычетом расходов (расходы за вычетом доходов) от операций с финансовыми
инструментами, в обязательном порядке классифицируемыми как оцениваемые по справедливой
стоимости через прибыль или убыток

 
",,,,,,,"44 124
",
3," 
"," 
",,,,,,,,
4,"10
"," 

доходы за вычетом расходов (расходы за вычетом доходов) по восстановлению (созданию)
оценочных резервов под ожидаемые кредитные убытки по финансовым активам, оцениваемым по
амортизированной стоимости

 
",,,,,"(10)
",,"9114
","9104
"
5,,"доходы за вычетом расходов (расходы за вычетом доходов) от операции с иностраннои валютои
",,,,,,,"930 988
","932 578`
"
6,,"Выручка от оказания услуг и комиссионные доходы
",,,,,,,"988 520
","988 608
"
7,," 
",,,,,,,,
8,,"Прямые операционные расходы
",,,,,,,,
9,," 
",,,,,,,,
10,,"Общие и административные расходы
",,,,,,,,
11,,"Прочие доходы
",,,,,,,,
