,0,1,2,3,4,5
0,,,,,,
1," 
"," 

Оценочны
отчетного п.

резерв под ожидаемые кредитные убытки по состоянию на начало

  
","127
",,"3 171
",
2," 
","финансовые активы, кредитные убытки по которым ожидаются в течение 12
месяцев
","127
",,"3171
",
3,,"   

Поступление нансовых активо

 
",,,,"9 660
"
4," 
","финансовые активы, кредитные убытки по которым ожидаются в течение 12
месяцев
","635
",,"9025
","9660
"
5,," 

Прекращение
",,,,"9 488`
"
6," 
","финансовые активы, кредитные убытки по которым ожидаются в течение 12
месяцев
","(436)
",,"(9 052)
",
7,," 
",,,,
8,"32
","финансовые активы, кредитные убытки по которым ожидаются в течение 12
месяцев
","43
",,,
9,"36
","оценочный резерв под ожидаемые кредитные убытки по состоянию на конец
отчетного период:

  

 
",,,,"3513
"
10,"37
","финансовые активы, кредитные убытки по которым ожидаются в течение 12
месяцев
","369
",,"3144
","3513
"
