,0,1,2,3
0,,,,
1," 
"," 

Кредиторская задолженность по информационн ехнологическим

слугам
","7 889
","5 396
"
2," 
","Кредиторская задолженность по услугам по содержанию и аренде
помещении
","34
","28
"
3," 
"," 
","7 872
","8 086
"
4,," 
",,
5,,"иторская задолженность пе! клиентами
",,"5 224
"
6,,"Расчеты по конверсионным операциям, производным финансовым
инструментам и ценным бумагам
",,"20 570
"
7,," 
",,
8,," 
","52 215
","42 394
"
9,,"Итого
","68 371
","81 904
"
