,0,1,2,3,4,5
0,,,,,,
1,,"Оценочный резерв под ожидаемые кредитные убытки на
30.06.2021 г.
","34 710
","10 629
","8 114
",
2," 
","Отчисления в оценочный резерв (восстановление
оценочного резерва) под ожидаемые итные убытки

 
","(390)
","(5 723)
","1409
",
3,,"тва, списанные как безн жные
",,,,
4,," 
",,," 
",
5," 
","Оценочный резерв под ожидаемые кредитные убытки на
30.09.2021 г.
","34 385
","4906
",,"48 813
"
