,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,,,," 
",,,,,," 
"," 
",,," 
",
1,"23
","Дополнительный выпуск акций
(дополнительные вклады

участников общества, вклады
третьих лиц, принимаемых в
общество

 
","30
",,,,,,,,,,,,,,,
2," 
","Выкуп у акционеров (участников)

(продажа) собственных акций

 
"," 
",,,,,,,,,,,,,,,
3," 
","Дивиденды и иные аналогичные

выплаты в пользу акционеров

 
"," 
",,,,,,,,,,,,,,,
4," 
","Прочие взносы акционеров
частников
",,,,,,,,,,,,,,,,
5," 
","Распределение в пользу
акционеров (участников
",,,,,,,,,,,,,,,,
6," 
"," 
",,,"179 596
",,,,,,,,,,,,"179 596
",
7," 
","Остаток на 30.08.2021 г., в том
числе
",,"   

165 000
"," 
",,," 
",,,,,,,,," 
"," 
"
8,"30
","капитал, относящийся к активам.
(выбывающим группам), Е

классифицированным како” я

предназначеннье для бэйажи

 
"," 
",,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
