,0,1,2,3,4,5,6
0,,,,,,,
1,,"  

стоимости через
",,,,,
2,"38
"," 

чистое изменение переоценки обязательств
(активов) по вознаграждениям работникам по
окончании трудовой деятельности, не ограниченным
фиксируемыми платежами, в том числе:

 
",,,,,
3,"39
","изменение переоценки обязательств (активов) по
вознаграждениям работникам по окончании

трудовой деятельности, не ограниченным
фиксируемыми платежами

 
",,,,,
4,"40
","влияние налога на прибыль, связанного с
изменением переоценки обязательств (активов) по

вознаграждениям работникам по окончании
трудовой деятельности, не ограниченным
фиксируемыми платежами

 
",,,,,
5,"41
","чистое изменение справедливой стоимости
финансовых обязательств, учитываемых по

справедливой стоимости через прибыль или убыток,
связанное с изменением кредитного риска, в том
числе:

 
",,,,,
6,"42
"," 

изменение справедливой стоимости финансовых
обязательств, учитываемых по справедливой
стоимости через прибыль или убыток, связанное с
изменением кредитного риска

 
",,,,,
7,"43
"," 

влияние налога на прибыль, связанного с
изменением справедливой стоимости финансовых
обязательств, учитываемых по справедливой
стоимости через прибыль или убыток, связанным с
изменением кредитного риска

 
",,,,,
8,"44
","чистое изменение стоимости инструментов
хеджирования, с помощью которых хеджируются

долевые инструменты, оцениваемые по
справедливой стоимости через прочий совокупный
в том числе:

 
",,,,,
9,"45
"," 

изменение стоимости инструментов хеджирования,

с помощью которых хеджируются долевые
инструменты, оцениваемые по справедливой
стоимости через прочий совокупный Доход

 
",,,,,
10,"46
"," 

влияние налога на прибыль, обусловленного
изменением стоимости инструментов
хеджирования, с помощью которых хеджируются
долевые инструменты, оцениваемые по
справедливой стоимости через прочий совокупный
доход
",,,,,
11," 
","прочий совокупный доход (расход) от прочих
оп ий

 
",,,,,
12,,"налог на прибыл относящиися к прочему

 

от прочих операции
",,,,,
13,"49
","Прочий совокупный доход (расход), подлежащий

переклассификации в состав прибыли или убытка в
последующих периодах, в том числе:

 
",,,,,
14,"50
","чистое изменение резерва под обесценение
долговых инструментов, оцениваемых по

справедливой стоимости через прочий совокупный
в том числе:

 
",,,,,
15,"51
"," 

восстановление (создание) резерва под
обесценение долговых инструментов, оцениваемых
по справедливой стоимости через прочий
совокупный доход

 
",,,,,
16,"52
"," 

влияние налога на прибыль, связанного с
восстановлением (созданием) резерва под
обесценение долговых инструментов, оцениваемых
по справедливой стоимости через прочий
совокупный доход

 
",,,,,
17,,"переклассификация резерва под обесценение
долговых инструментов, оцениваемых по
",,,,,
