,0,1,2,3
0,,,,
1,," 

овли, в том числе
","2529 714
",
2,,"кредитных организаций и банков-нерезидентов
","139 188
","19 535
"
3,,"некредитных финансовых организации
","2 287 483
","1 955 719
"
4,,"нефинансовых организации
","103 043
","55 401
"
5,," 
",,"178 154
"
6,,"Правительства Российской Ф ии
","32 098
","39 173
"
7,,"     

нансовых организации
","193 352
","138 981
"
8,,"Итого
","2755 164
","2 208 809
"
