,0,1,2,3,4,5,6,7
0,"Полная

балансовая
стоимость

 
","Оценочный резерв

под ожидаемые
кредитные убытки

 
","Балансовая

стоимость

 
","Полная

балансовая
стоимость

 
","Оценочный резерв

под ожидаемые
кредитные убытки

 
","Балансовая

стоимость

 
",,
1,,,,,,," 
",
2,"1
","енежные с ства в кассе
","20 837
",,"20 837
","16 060
",,"16 060
"
3,"2
","енежные с ства в пути
","18 500
",,"18 500
",,,
4,"3
","енежные с ства на расчетных счетах
","196 797
",,"196 258
","53 710
",,"53 541
"
5,"5
"," 
","1 019 661
","4 681
","1 014 980
","2 737 577
","12 588
","2 724 989
"
6,,"Итого
","1255 795
",,"1 250 575
","2807 347
",,"2794 590
"
