,0,1,2,3,4
0,"1
"," 
",,,
1,"23
","Платежи в связи с приобретением финансовых активов,
классифицируемых как оцениваемые по справедливой

стоимости через прибыль или убыток по усмотрению

 
",,,
2," 
","Поступления от продажи и погашения финансовых активов,

оцениваемых по справедливой стоимости через прочий

 
",,,
3,"26
","Платежи в связи с приобретением финансовых активов,
оцопиваомых по оправодлиоой отоимооти '10роб прочий

совокупный доход
Поступления от продажи и погашения финансовых активов,
оцениваемых по амортизированной стоимости

 
",,"83 160
","344 695
"
4," 
","Платежи в связи с приобретением финансовых активо!
оцениваемых по амортизированной стоимости

  
",," 
"," 

(198 169)

 
"
5," 
","Поступления доходов от сдачи инвестиционного имущества в
аренду
",,,
6,,"Прочие поступления от инвестиционной деятельности
",,"4 497
",
7,,"Прочие платежи по инвестиционной деятельности
",,,
8,"Сал енежных потоков от инвестиционной деятельности _| |
","46 978
","134 682.
",,
9,"Раздел Ш. Денежные потоки от финансовой деятельности
",,,,
10,"32
","Поступления от размещения финансовых обязательств,
классифицируемых как оцениваемые по справедливой

стоимости через прибыль или убыток по усмотрению
некредитной финансовой организации

 
",,,
11,"33
","Платежи в связи с погашением финансовых обязательств,
классифицируемых как оцениваемые по справедливой

стоимости через прибыль или убыток по усмотрению

 
",,,
12," 
","Поступления от привлечения кредитов, займов и прочих

привлеченных средств, оцениваемых по амортизированной
стоимости

 
",,,
13," 
","Погашение кредитов, займов и прочих привлеченных средст!
оцениваемых по амортизированной стоимости

   
",,,
14," 
","   

Поступления от выпуска акци
внесения вкла,

увеличения долеи участия и
в собственниками (участниками

 
",,,
15,," 

Поступления от продажи собственных акций (долей участия
",,,
16," 
","Платежи собственникам (участникам) в связи с выкупом у них

собственных акций (долей участия) или их выходом из
состава участников

 
",,,
17,,"Выплаченные дивиденды
",,,
18," 
","Поступления от выпуска облигаций, векселей и других

долговых ценных бумаг, оцениваемых по амортизированной
стоимости

 
",,,
19," 
","Платежи в связи с погашением (выкупом) векселей и других

долговых ценных бумаг, оцениваемых по амортизированной
стоимости

 
",,,
20,," 

Платежи в погашение обязательств по догов.
",,"69 940
","72 071
"
21,,"Прочие поступления от финансовой деятельности
",,,
22,," 

Прочие платежи по
",,,
23,,"Сальдо денежных потоков от финансовой деятельности
",,"72 071
","69 940'
"
24,,"Сальдо денежных потоков за отчетный перио,
",,"1 543 743
","60 637
"
25," 
","Величина влияния изменени: курса иностранной валюты по
отношению к рублю
",,," 
"
26," 
","Остаток денежных средств и их эквивалентов на начало
отчетного пери.
"," 
"," 
"," 
"
27," 
","Остаток денежных средств и их эквивалентов на конец
отчетного периода

 
"," 
",," 

1255 795

 
"
