,0,1,2,3,4,5,6,7
0,"Полная

балансовая
стоимость

 
","Оценочный резерв

под ожидаемые
кредитные убытки

 
","Балансовая

стоимость

 
","Полная

балансовая
стоимость

 
","Оценочный резерв

под ожидаемые
кредитные убытки

 
","Балансовая

стоимость

 
",,
1,,,,,,,,
2,,"Долговые ценные бумаги
некредитных организаций,

оцениваемые по амортизированной
стоимости

 
","32 684
",,"32 684
","32 886
",,"32 886
"
3,,"Прочие выданные займы и
размещенные средства,

оцениваемые по амортизированной
СТОИМОСТИ

 
","45 145
","(4 906)
",,"23 220
","(2 554)
","20 666
"
4," 
","Сделки обратного репо с
некредитными организациями

 
","7 663 190
",,"7 663 190
","7 157 861
",,"7157 861
"
5,,"Итого
","7 741 019
",,"7 736 113
","7 213 967
",,"7211 413
"
