,0,1,2,3,4,5
0,,,,,,
1,"1
","По необесцененным финансовым активам, в том числе:
","171 307
","478 232
","187 825
","748 869
"
2," 
"," 

по финансовым активам, в обязательном порядке классифицируемым как оцениваемые
ивои стоимости через быль или убыток

   
","3145
","8 306
",,
3," 
","по финансовым активам, оцениваемым по амортизированнои стоимости: средствам в

 
","24 664
","88 520
","5 177
","93 616
"
4,," 

 

по финансовым активам, оцениваемым по амортизированнои стоимости: выданным
заимам и прочим размещенным с! твам

 
","133 468
","352 993
","175 080
","625 047
"
5,," 
","10 030
","28 413
","7 568
","30 206
"
6,,"Итого
","171 307
","478 232
","187 825
","748 869
"
