,0,1,2,3,4,5
0,,,,,,
1,"Раздел М. Выручка от оказания услуг по деятельности депозитария
",,,,,
2,,"Выручка от оказания услуг по ведению счетов депо, хранению и учету ценных бумаг
","5 745
","15 059
","1 859
","4 341
"
3,,"Выручка от оказания услуг по проведению операции по счетам депо
","20 159
","45 782
","12 388
","40 692
"
4,"32
","Выручка от оказания услуг по учету финансовых инструментов, не квалифицированных в качестве
ценных бумаг
"," 
","63
","338
","872
"
5,,"   

чка от оказания сопутствующих услуг по ятельности
",,,,
6,,"Итого
",,"60 999
",,"46 037
"
7," 
",,,,,
8,," 

Комиссионные
","1 057 505
","3 074 538
","457 136
","1 707 247
"
9,,"     

Комиссионные от клиентских операции на
","5 333
","16 892
","4 470
","23 125
"
10,,"Комиссионные доходы от клиентских операции на валютном рынке
","14 065
","41 527
","12 423
","40 906
"
11,,"Комиссионные доходы от прочих клиентских операции
","6 074
","24 745
","7 255
","23 156
"
12,," 
","12 765
","1 110 767
","76 621
","190 615
"
13,,"Итого
","1 095 742
","4 268 469
","557 905
","1985 049
"
14," 
",,,,,
15,,"Агентское вознаграждение
","108 159
","269 980
","58 285
","164 371
"
16,"50
"," 
","13 773
","22 396
","2259
","5 762
"
17,"52
","Выручка от оказания услуг по предоставлению доступа к программному обеспечению
",,,,
18,,"   

чка от оказания ин мационных и консультационных услуг
","17 298
","66 591
","7 085
","22 087
"
19,"54
","     

чка по основнои деятельности за оказание полнительных услуг
",,"2513
","1 211
"," 
"
20,,"Итого
",,,"69 097
","194 471
"
21,,"Всего
","1 261 830
","4 691 731
",,"2225 557
"
