,0,1,2,3,4,5,6
0,,,,,,," 
"
1,"1
","Финансовые активы, в том числе
","98 297
","82 656
",,,
2,"2
"," 

енные бумаги
","98 297
","24 496
",,,"122 793
"
3," 
","производные финансовые инструменты, от

которых ожидается увеличение экономических

 
",,"58 160
",,,"58 160
"
4,"7
","Финансовые обязательства, в том числе
",,"200 146
",,,"200 146
"
5,,"производные финансовые инструменты, от

которых ожидается уменьшение экономических

 
",,"(58 160)
",,,"(58 160)
"
6,,"обязательства по возврату заимствованных
ценных бумаг
",,"(141 986)
",,,"(141 986)
"
7,,"Итого
","98 297
","(117 490)
",,,
