,0,1,2,3,4
0,,,,,
1,"Раздел Денежные потоки от операционн деятельности
",,,,
2,," 

Поступления от продажи и погашения финансовых активов
или от размещения финансовых обязательств, в
обязательном порядке классифицируемых как оцениваемые
по справедливой стоимости через прибыль или убыток

 
",,"61 774 510
","4 667 488
"
3,,"Платежи в связи с приобретением финансовых активов или
погашением финансовых обязательств, в обязательном

порядке классифицируемых как оцениваемые по

 
",,"(61 491 080)
","(14 493 604)
"
4," 
","Денежные поступления от предоставления услуг и
полученные комиссии
",," 

4 712 913

 
","769 930
"
5,,"енежные выплаты поставщикам за товары и услуги
",,"1 476 499
","516 234
"
6,,"Проценты полученные
",,"467 037
","931 296
"
7,,"Проценты ‘уплаченные
",,"90 871
","41 954
"
8,,"Поступления дивидендов и иных аналогичных выплат
",,,
9,,"Средства, полученные для перечисления клиентам доходов

по ценным бумагам, за минусом средств, перечисленных
клиентам

 
",,,
10,,"Прочие денежные поступления и выплаты от имени клиентов
",,"944 366
","30 659 565
"
11,,"Выплата заработной платы и прочего вознаграждения
СОТ! икам

 
",,"(3 784 541)
","(2755 447)
"
12,,"Оплата прочих административных и операционных расходов
",,"3 126
",
13,,"Уплаченный налог на прибыль
",,"147 292
","168 215
"
14,,"Прочие денежные потоки от операционнои деятельности
",,"441 379
","19 056 929
"
15,," 
",,"1 424 694
",
16,"Раздел |. Денежные потоки от инвестиционной деятельности
",,,,
17,,"Поступления отп одажи основных средств
",,,
18,," 

Поступления от п жи инвестиционного им! ества
",,,
19,,"Поступления от п жи нематериальных активов
",,,
20," 
"," 

Платежи в связи с приобретением, созданием,
модернизацией, реконструкцией и подготовкой к
использованию основных средств

 
",,"(5 931)
","(3 164)
"
21,"18
"," 

Платежи в связи с приобретение
нематериальных активов

созданием

 
",,"(23 730)
","(8 735)
"
22,"19
","Платежи в связи с приобретением, созданием,

модернизацией, подготовкой к использованию

 
",,,
23,"20
","Поступления от продажи акций (долей участия) дочерни

 

ванных, совместно кон
",,,
24," 
"," 

Платежи в связи с вложениями в акции (доли участия)
дочерних, ассоциированных, совместно контролируемых
предприятий

 
",,,
25,"22
"," 

Поступления от продажи и погашения финансовых активов,
классифицируемых как оцениваемые по справедливой
стоимости через прибыль или убыток по усмотрению
некредитной финансовой организации

 
",,,
