,0,1,2,3,4,5,6
0,,," 
",,,,
1,,"тоимости через прочий совокупны

   
",,,,,
2,"54
","налог на прибыль, солзанный с
переклассификацией резерва под обесценение

долговых инструментов, оцениваемых по
справедливой стоимости через прочий совокупный

 
",,,,,
3,"55
","чистое изменение справедливой стоимости
долговых инструментов, оцениваемых по

справедливой стоимости через прочий совокупный
доход, в том числе:

 
",,,,,
4," 
","изменение справедливой стоимости долговых

инструментов, оцениваемых по справедливой
стоимости через прочий совокупный дох‹

 
",,,,,
5,"57
","влияние налога на прибыль, связанного с
изменением справедливой стоимости долговых

инструментов, оцениваемых по справедливой
стоимости через прочий совокупный

 
",,,,,
6," 
"," 

икация в состав прибыли или убытка
",,,,,
7,"59
","налог на прибыль, связанный с
переклассификацией доходов (расходов) от

переоценки долговых инструментов, оцениваемых
по справедливой стоимости через прочий
й 6,

 
",,,,,
8,,"чистые доходы (расходы) от хеджирования
енежных потоков, в том числе:

   
",,,,,
9," 
","доходы (расходы) от хеджирования денежных
потоков
",,,,,
10," 
"," 

с доходами
сходами) от хеджирования денежных потоков

 
",,,,,
11," 
"," 

икация в состав прибыли или убытка
",,,,,
12,"64
","налог на прибыль, связанный с
переклассификацией доходов (расходов) от

хеджирования денежных потоков в состав прибыли
или убытка

 
",,,,,
13," 
","   

прочий совокупны
операций

доход (расход) от прочих
",,,,,
14,,"налог на прибыл
совокупном

    
",,,,,
15," 
"," 

Итого прочий совокупны
пе

доход (расход) за отчетный

 
",,,,,
16,,"Итого совокупный доход (расход) за отчетный
период
",," 
",,"116 847

 
"," 

(227 792)
"
