,0,1,2,3,4,5,6
0,,,,,,,
1,,"Оценочный резерв под ожидаемые кредитные убытки на
30.06.2020 г.
","23 542
","1 828
","12 136
","37 506
",
2," 
","Отчисления в оценочный резерв (восстановление
оценочного резерва) под ожидаемые итные убытки

 
","(1 578)
","(399)
","(1 737)
",,
3,,"п рочие движения
","2 367
",,,,
4," 
","Оценочный резерв под ожидаемые кредитные убытки на
30.09.2020 г.
",,,"10 597
","36 357
",
